상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
17504872	건강이으뜸		D	소매	D10	건강/미용식품	D10A04	건강식품판매	G47216	건강보조식품 소매업	41	경기도	41135	성남시 분당구	4113556000	정자2동	4113510300	정자동	4.11351E+18	1	대지	117		경기도 성남시 분당구 정자동 117	4.11353E+11	경기도 성남시 분당구 내정로	54		4.11351E+24	한솔마을주공6단지아파트	경기도 성남시 분당구 내정로 54	463912	13607	602			127.1152287	37.36431612
17504976	무지개식당		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113557000	정자3동	4113510300	정자동	4.11351E+18	1	대지	191		경기도 성남시 분당구 정자동 191	4.11353E+11	경기도 성남시 분당구 내정로	24		4.11351E+24	정든마을	경기도 성남시 분당구 내정로 24	463756	13602	상가	1		127.1151786	37.36281094
17459252	탕탕가		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	159	5	경기도 성남시 분당구 정자동 159-5	4.11353E+11	경기도 성남시 분당구 정자일로	158		4.11351E+24	백궁프라자2	경기도 성남시 분당구 정자일로 158	463867	13558		2		127.1062986	37.36433909
17473146	CU	수원봄아름점	D	소매	D03	종합소매점	D03A01	편의점	G47122	체인화 편의점	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	36	1	경기도 수원시 장안구 정자동 36-1	4.11113E+11	경기도 수원시 장안구 송정로	62		4.11111E+24		경기도 수원시 장안구 송정로 62	440832	16312		1		127.0038732	37.29584983
17518450	알레이스		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	65	3	경기도 성남시 분당구 정자동 65-3	4.11353E+11	경기도 성남시 분당구 느티로	69		4.11351E+24	숲안조합상가	경기도 성남시 분당구 느티로 69	463874	13610		1		127.1122185	37.36876292
17528300	희야식당		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	166	1	경기도 성남시 분당구 정자동 166-1	4.11353E+11	경기도 성남시 분당구 정자일로	140		4.11351E+24	정자역엠코헤리츠2단지	경기도 성남시 분당구 정자일로 140	463867	13559		1		127.1065462	37.36250276
17405407	카페	이니스터디	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41111	수원시 장안구	4111157100	정자1동	4111113000	정자동	4.11111E+18	1	대지	945		경기도 수원시 장안구 정자동 945	4.11113E+11	경기도 수원시 장안구 이목로	24		4.11111E+24	수원SKSKYVIEW	경기도 수원시 장안구 이목로 24	440301	16336	601			126.983592	37.30939185
17464535	원조돼지집		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41111	수원시 장안구	4111157100	정자1동	4111113000	정자동	4.11111E+18	1	대지	541	48	경기도 수원시 장안구 정자동 541-48	4.11113E+11	경기도 수원시 장안구 파장로	103	1	4.11111E+24	이모네추어탕	경기도 수원시 장안구 파장로 103-1	440840	16337		1		126.9900182	37.30799613
17473131	민영활어공장		Q	음식	Q03	일식/수산물	Q03A02	음식점-일식	I56113	일식 음식점업	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	73	37	경기도 수원시 장안구 정자동 73-37	4.11114E+11	경기도 수원시 장안구 수성로261번길	28		4.11111E+24		경기도 수원시 장안구 수성로261번길 28	440834	16314		1		127.0003276	37.29104419
17464122	미유		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41111	수원시 장안구	4111157100	정자1동	4111113000	정자동	4.11111E+18	1	대지	575	2	경기도 수원시 장안구 정자동 575-2	4.11114E+11	경기도 수원시 장안구 장안로359번길	19		4.11111E+24	대아권선기술(주)	경기도 수원시 장안구 장안로359번길 19	440840	16346	B	1		126.9858269	37.31181691
